"","X","Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","season","player_id","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs","predator_offense","predator_defense","predator_total","pace_impact"
"1",51,"16T","Peja Stojakovic",24,"SAC",0,1,1260,0.001,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,9.9,0.179,2002,"stojape01",6006,2987,2.866001948,-1.576409884,1.289592064,6.114683893,6.065173901,0.049509992,2.929012941,-1.434325424,1.494687517,-0.428003952
"2",68,"4","Peja Stojakovic",26,"SAC",1,281,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,2004,"stojape01",7401,3781,4.335474722,-1.079810328,3.255664394,11.56603155,10.4011553,1.164876245,4.558806696,-0.69687141,3.861935286,-0.445704204
"3",134,"10","Manu Ginobili",30,"SAS",0,9,1260,0.007,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,2008,"ginobma01",5356,2858,5.4005772,2.669572164,8.070149364,15.88012203,13.77112823,2.108993801,5.419555445,2.547866169,7.967421614,0.179468342
"4",164,"11","Manu Ginobili",32,"SAS",0,3,1230,0.002,75,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216,2010,"ginobma01",4829,2502,5.732501882,1.116681385,6.849183266,12.3244807,10.41831132,1.906169377,5.790624154,1.393387206,7.18401136,0.081639394
"5",176,"8","Manu Ginobili",33,"SAS",0,20,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,2011,"ginobma01",5052,2600,6.044526925,1.776115052,7.820641977,14.08302761,13.11535641,0.967671201,6.244892079,1.888387034,8.133279113,0.206893143
"6",228,"16","Goran Dragic",27,"PHO",0,3,1250,0.002,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186,2014,"dragigo01",5389,2668,4.826053679,0.191101625,5.017155304,10.5505868,10.5505868,0,4.465946486,0.681530218,5.147476705,-0.201129559
"7",279,"4","Nikola Jokic",23,"DEN",0,212,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,2019,"jokicni01",6219,3061,6.080263137,2.664693182,8.74495632,18.19761224,13.03130189,5.166310349,5.866490159,3.150483687,9.016973845,0.178082281
"8",291,"4","Luka Doncic",20,"DAL",0,200,1010,0.198,61,33.6,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,8.8,0.207,2020,"doncilu01",4775,2262,7.397159485,-1.068008544,6.329150941,10.64446575,9.936518816,0.707946934,7.909136834,-1.456047114,6.45308972,1.350775376
"9",296,"9","Nikola Jokic",24,"DEN",0,18,1010,0.018,73,32,19.9,9.7,7,1.2,0.6,0.528,0.314,0.817,9.8,0.202,2020,"jokicni01",6082,3030,4.60096554,0.475986351,5.076951891,12.13295997,9.380333757,2.752626217,5.35236176,1.751800264,7.104162023,-0.40383324
"10",300,"1","Nikola Jokic",25,"DEN",91,971,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,2021,"jokicni01",5787,2833,8.59796770192476,0.651521234227334,9.24948893615209,17.5339165206694,15.7560312359587,1.77788528471075,8.68570045173231,1.0185306920442,9.70423114377651,0.791221853692214
"11",305,"6","Luka Doncic",21,"DAL",0,42,1010,0.042,66,34.3,27.7,8,8.6,1,0.5,0.479,0.35,0.73,7.7,0.163,2021,"doncilu01",5235,2543,6.64165405276573,-0.789069940314123,5.85258411245161,11.4026449506247,9.29776593129739,2.10487901932728,7.43545995944086,-1.20229205689852,6.23316790254233,1.22450940082698
"12",1,"1","Shaquille O'Neal",27,"LAL",120,1207,1210,0.998,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,2000,"onealsh01",8122,4163,4.392065114,3.15857055,7.550635664,21.84016647,17.43159282,4.408573651,4.7227871,2.678703213,7.401490313,-0.604116254
"13",2,"2","Kevin Garnett",23,"MIN",0,408,1210,0.337,81,40,22.9,11.8,5,1.5,1.6,0.497,0.37,0.765,11.6,0.172,2000,"garneke01",6570,3414,2.250017118,1.757785426,4.007802544,11.70333025,11.09500284,0.608327413,2.786463743,1.581486796,4.367950539,-0.689205955
"14",3,"3","Alonzo Mourning",29,"MIA",0,367,1210,0.303,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,12.9,0.226,2000,"mournal01",5864,3124,0.545253287,3.490962649,4.036215936,10.82077668,9.458794841,1.361981841,0.633096612,2.798552403,3.431649014,-0.330524497
