"","Player","Odds","Result","year"
"1","Dirk Nowitzki",800,"**  WINNER  **",2006
"2","LeBron James",250,"",2006
"3","Dwyane Wade",400,"",2006
"4","Kobe Bryant",500,"",2006
"5","Tim Duncan",600,"",2006
"6","Steve Nash",1000,"",2006
"7","FIELD",1200,"",2006
"8","Elton Brand",1500,"",2006
"9","Shaquille O'Neal",1500,"",2006
"10","Kevin Garnett",1800,"",2006
"11","Allen Iverson",2000,"",2006
"12","Amare Stoudemire",2000,"",2006
"13","Chauncey Billups",2000,"",2006
"14","Jason Kidd",2000,"",2006
"15","Tracy McGrady",2000,"",2006
"16","Carmelo Anthony",2500,"",2006
"17","Gilbert Arenas",2500,"",2006
"18","Jermaine O'Neal",2500,"",2006
"19","Vince Carter",2500,"",2006
"20","Yao Ming",2500,"",2006
"21","Chris Paul",3000,"",2006
"22","Shawn Marion",3000,"",2006
"23","Tony Parker",3000,"",2006
"24","Paul Pierce",4000,"",2006
"25","Ray Allen",4000,"",2006
"26","Richard Hamilton",4000,"",2006
"27","Chris Bosh",5000,"",2006
"28","Kobe Bryant",600,"**  WINNER  **",2007
"29","LeBron James",500,"",2007
"30","Steve Nash",500,"",2007
"31","Dirk Nowitzki",600,"",2007
"32","Dwyane Wade",800,"",2007
"33","Kevin Garnett",800,"",2007
"34","Carmelo Anthony",1000,"",2007
"35","FIELD",1200,"",2007
"36","Tim Duncan",1200,"",2007
"37","Dwight Howard",1500,"",2007
"38","Gilbert Arenas",1500,"",2007
"39","Shaquille O'Neal",1500,"",2007
"40","Tracy McGrady",1500,"",2007
"41","Yao Ming",1500,"",2007
"42","Carlos Boozer",1800,"",2007
"43","Carlos Boozer",1800,"",2007
"44","Allen Iverson",2000,"",2007
"45","Amare Stoudemire",2000,"",2007
"46","Amare Stoudemire",2000,"",2007
"47","Chris Bosh",2000,"",2007
"48","Vince Carter",2000,"",2007
"49","Baron Davis",2500,"",2007
"50","Chris Paul",2500,"",2007
"51","Jason Kidd",2500,"",2007
"52","Paul Pierce",2500,"",2007
"53","Tony Parker",2500,"",2007
"54","LeBron James",250,"**  WINNER  **",2008
"55","Kobe Bryant",300,"",2008
